,Name,Course Name,Position,Strokes Under,Total Strokes,First Round,Second Round,Third Round,Fourth Round,Fourth Round Tee Time,Amateur Status,Tournament Status,ID
251,Keegan Bradley,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,74,70,72,71,10:09am,False,complete,33141
252,Isaiah Salinda,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,70,72,73,72,10:53am,False,complete,56781
253,Christiaan Bezuidenhout,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,72,71,72,72,10:53am,False,complete,45522
254,Cameron Smith,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,71,72,72,72,11:04am,False,complete,35891
255,J.T. Poston,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,73,71,71,72,11:15am,False,complete,49771
256,Denny McCarthy,Pinehurst Resort & Country Club (Course No. 2),T32,+7,287,75,67,72,73,11:53am,False,complete,47993
257,Frankie Capan III,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,71,70,76,71,9:25am,False,complete,49590
258,Harris English,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,70,73,74,71,9:36am,False,complete,34099
259,Jordan Spieth,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,72,71,74,71,9:47am,False,complete,34046
260,Scottie Scheffler,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,71,74,71,72,10:20am,False,complete,46046
261,Tom McKibbin,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,74,71,71,72,10:20am,False,complete,50823
262,Tim Widing,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,71,68,76,73,10:31am,False,complete,50474
263,Emiliano Grillo,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,70,72,73,73,10:42am,False,complete,31646
264,Billy Horschel,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,73,67,74,74,11:42am,False,complete,29420
265,Luke Clanton,Pinehurst Resort & Country Club (Course No. 2),T41,+8,288,76,69,69,74,12:04pm,True,complete,66743
266,Justin Lower,Pinehurst Resort & Country Club (Course No. 2),T50,+9,289,72,73,74,70,8:58am,False,complete,40162
267,Matt Kuchar,Pinehurst Resort & Country Club (Course No. 2),T50,+9,289,72,71,75,71,9:25am,False,complete,23108
268,Nicolai Højgaard,Pinehurst Resort & Country Club (Course No. 2),T50,+9,289,72,69,74,74,10:42am,False,complete,52453
269,Mark Hubbard,Pinehurst Resort & Country Club (Course No. 2),T50,+9,289,74,69,70,76,12:26pm,False,complete,36801
270,Nico Echavarria,Pinehurst Resort & Country Club (Course No. 2),54,+10,290,72,69,78,71,8:47am,False,complete,51349
271,David Puig,Pinehurst Resort & Country Club (Course No. 2),55,+11,291,76,68,69,78,12:37pm,False,complete,61193
272,Seonghyeon Kim,Pinehurst Resort & Country Club (Course No. 2),T56,+12,292,69,72,83,68,7:30am,False,complete,50188
273,Ben Kohles,Pinehurst Resort & Country Club (Course No. 2),T56,+12,292,77,68,76,71,8:03am,False,complete,36884
274,Ryan Fox,Pinehurst Resort & Country Club (Course No. 2),T56,+12,292,73,72,76,71,8:14am,False,complete,29936
